GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2014090400,9/4/2014,1,11,20,SEA,GB,2,6,39,,0,,0,(11:20) 24-M.LYNCH LEFT TACKLE TO SEA 44 FOR 5 YARDS (56-J.PEPPERS).,0,,,2014,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,39,OWN,0,,0,,0
2014090400,9/4/2014,1,10,44,SEA,GB,3,1,44,,1,,0,(10:44) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 11-P.HARVIN TO SEA 48 FOR 4 YARDS (33-M.HYDE- 50-A.HAWK).,0,,,2014,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,44,OWN,0,,0,,0
2014090400,9/4/2014,1,10,10,SEA,GB,1,10,48,,0,,0,(10:10) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 15-J.KEARSE TO GB 44 FOR 8 YARDS (50-A.HAWK; 38-T.WILLIAMS).,0,,,2014,8,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,48,OWN,0,,0,,0
2014090400,9/4/2014,1,9,30,SEA,GB,2,2,56,,0,,0,(9:30) (SHOTGUN) 22-R.TURBIN LEFT TACKLE TO GB 44 FOR NO GAIN (52-C.MATTHEWS).,0,,,2014,0,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,44,OPP,0,,0,,0
2014090400,9/4/2014,1,8,51,SEA,GB,3,2,56,,0,,0,(8:51) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 86-Z.MILLER (37-S.SHIELDS).,0,,,2014,0,SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,44,OPP,0,,0,,0
2014090400,9/4/2014,1,8,44,SEA,GB,4,2,56,,0,,0,(8:44) 9-J.RYAN PUNTS 32 YARDS TO GB 12- CENTER-49-C.GRESHAM- FAIR CATCH BY 18-R.COBB. PENALTY ON GB-76-M.DANIELS- RUNNING INTO THE KICKER- 5 YARDS- ENFORCED AT GB 44 - NO PLAY.,0,,,2014,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,44,OPP,1,GB,1,RUNNING INTO THE KICKER,5
2014090400,9/4/2014,1,8,37,SEA,GB,1,10,61,,1,,0,(8:37) (SHOTGUN) 11-P.HARVIN RIGHT END PUSHED OB AT GB 26 FOR 13 YARDS (38-T.WILLIAMS).,0,,,2014,13,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,39,OPP,0,,0,,0
2014090400,9/4/2014,1,7,58,SEA,GB,1,10,74,,0,,0,(7:58) (SHOTGUN) 3-R.WILSON SACKED OB AT GB 26 FOR 0 YARDS (21-H.CLINTON-DIX).,0,,,2014,0,SHOTGUN,SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,0,,26,OPP,0,,0,,0
2014090400,9/4/2014,1,7,27,SEA,GB,2,10,74,,0,,0,(7:27) 24-M.LYNCH LEFT TACKLE TO GB 21 FOR 5 YARDS (95-D.JONES- 96-M.NEAL).,0,,,2014,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,26,OPP,0,,0,,0
2014090400,9/4/2014,1,6,46,SEA,GB,3,5,79,,0,,0,(6:46) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 89-D.BALDWIN TO GB 17 FOR 4 YARDS (38-T.WILLIAMS).,0,,,2014,4,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,21,OPP,0,,0,,0
2014090400,9/4/2014,1,6,7,,GB,0,0,0,,1,,0,TIMEOUT #1 BY GB AT 06:07.,0,,,2014,0,UNDER CENTER,TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014090400,9/4/2014,1,6,7,SEA,GB,4,1,83,,0,,0,(6:07) 4-S.HAUSCHKA 35 YARD FIELD GOAL IS GOOD- CENTER-49-C.GRESHAM- HOLDER-9-J.RYAN.,0,,,2014,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,17,OPP,0,,0,,0
2014090400,9/4/2014,1,6,3,SEA,GB,0,0,35,,1,,0,4-S.HAUSCHKA KICKS 65 YARDS FROM SEA 35 TO END ZONE- TOUCHBACK.,0,,,2014,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2014090400,9/4/2014,1,6,3,GB,SEA,1,10,20,,1,,0,(6:03) 12-A.RODGERS PASS SHORT LEFT TO 87-J.NELSON PUSHED OB AT GB 31 FOR 11 YARDS (31-K.CHANCELLOR).,0,,,2014,11,UNDER CENTER,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,20,OWN,0,,0,,0
2014090400,9/4/2014,1,5,43,GB,SEA,1,10,31,,0,,0,(5:43) (SHOTGUN) 12-A.RODGERS PASS SHORT RIGHT TO 27-E.LACY TO GB 26 FOR -5 YARDS (20-J.LANE- 54-B.WAGNER).,0,,,2014,-5,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,31,OWN,0,,0,,0
2014090400,9/4/2014,1,4,55,GB,SEA,2,15,26,,0,,0,(4:55) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE DEEP LEFT TO 18-R.COBB.,0,,,2014,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,26,OWN,0,,0,,0
2014090400,9/4/2014,1,4,51,GB,SEA,3,15,26,,0,,0,(4:51) (SHOTGUN) 12-A.RODGERS PASS INCOMPLETE DEEP MIDDLE TO 87-J.NELSON.,0,,,2014,0,SHOTGUN,PASS,0,1,1,0,DEEP MIDDLE,0,0,0,,0,0,0,0,0,0,,26,OWN,0,,0,,0
2014090400,9/4/2014,1,4,44,GB,SEA,4,15,26,,0,,0,(4:44) 8-T.MASTHAY PUNTS 38 YARDS TO SEA 36- CENTER-61-B.GOODE. 29-E.THOMAS MUFFS CATCH- RECOVERED BY GB-21-H.CLINTON-DIX AT SEA 34. 21-H.CLINTON-DIX TO SEA 34 FOR NO GAIN (35-D.SHEAD).,0,,,2014,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,26,OWN,0,,0,,0
2014090400,9/4/2014,1,4,32,GB,SEA,1,10,66,,0,,0,(4:32) 27-E.LACY RIGHT END TO SEA 34 FOR NO GAIN (53-M.SMITH; 29-E.THOMAS).,0,,,2014,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,34,OPP,0,,0,,0
2014090400,9/4/2014,1,3,55,GB,SEA,2,10,66,,0,,0,(3:55) 27-E.LACY UP THE MIDDLE TO SEA 32 FOR 2 YARDS (50-K.WRIGHT; 54-B.WAGNER).,0,,,2014,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,34,OPP,0,,0,,0
2014090400,9/4/2014,1,3,19,GB,SEA,3,8,68,,1,,0,(3:19) (SHOTGUN) 12-A.RODGERS PASS SHORT LEFT TO 18-R.COBB PUSHED OB AT SEA 24 FOR 8 YARDS (41-B.MAXWELL).,0,,,2014,8,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,32,OPP,0,,0,,0
